ds,y
12/27/2013,108
12/28/2013,49
12/29/2013,551
12/30/2013,510
12/31/2013,136
1/1/2014,52
1/2/2014,49
1/3/2014,57
1/4/2014,72
1/5/2014,15
1/6/2014,72
1/7/2014,43
1/8/2014,368
1/9/2014,38
1/10/2014,64
1/11/2014,50
1/12/2014,27
1/13/2014,45
1/14/2014,68
1/15/2014,367
1/16/2014,317
1/17/2014,128
1/18/2014,8
1/19/2014,297
1/20/2014,349
1/21/2014,41
1/22/2014,521
1/23/2014,251
1/24/2014,167
1/25/2014,587
1/26/2014,41
1/27/2014,54
1/28/2014,46
1/29/2014,55
1/30/2014,38
1/31/2014,89
2/1/2014,104
2/2/2014,46
2/3/2014,91
2/4/2014,390
2/5/2014,94
2/6/2014,8
2/7/2014,523
2/8/2014,420
2/9/2014,51
2/10/2014,43
2/11/2014,331
2/12/2014,293
2/13/2014,137
2/14/2014,538
2/15/2014,59
2/16/2014,61
2/17/2014,32
2/18/2014,64
2/19/2014,122
2/20/2014,35
2/21/2014,
2/22/2014,75
2/23/2014,24
2/24/2014,614
2/25/2014,55
2/26/2014,
2/27/2014,
2/28/2014,
3/1/2014,2
3/2/2014,31
3/3/2014,42
3/4/2014,59
3/5/2014,31
3/6/2014,669
3/7/2014,357
3/8/2014,115
3/9/2014,16
3/10/2014,412
3/11/2014,451
3/12/2014,301
3/13/2014,251
3/14/2014,904
3/15/2014,19
3/16/2014,49
3/17/2014,56
3/18/2014,36
3/19/2014,26
3/20/2014,77
3/21/2014,36
3/22/2014,84
3/23/2014,
3/24/2014,586
3/25/2014,476
3/26/2014,325
3/27/2014,217
3/28/2014,854
3/29/2014,19
3/30/2014,28
3/31/2014,109
4/1/2014,42
4/2/2014,332
4/3/2014,105
4/4/2014,336
4/5/2014,69
4/6/2014,33
4/7/2014,
4/8/2014,
4/9/2014,
4/10/2014,
4/11/2014,
4/12/2014,31
4/13/2014,135
4/14/2014,40
4/15/2014,25
4/16/2014,43
4/17/2014,32
4/18/2014,94
4/19/2014,60
4/20/2014,53
4/21/2014,112
4/22/2014,114
4/23/2014,39
4/24/2014,83
4/25/2014,498
4/26/2014,1
4/27/2014,494
4/28/2014,41
4/29/2014,37
4/30/2014,38
5/1/2014,87
5/2/2014,47
5/3/2014,49
5/4/2014,97
5/5/2014,56
5/6/2014,71
5/7/2014,750
5/8/2014,269
5/9/2014,517
5/10/2014,94
5/11/2014,99
5/12/2014,9
5/13/2014,37
5/14/2014,54
5/15/2014,96
5/16/2014,55
5/17/2014,43
5/18/2014,59
5/19/2014,47
5/20/2014,619
5/21/2014,9
5/22/2014,610
5/23/2014,114
5/24/2014,109
5/25/2014,42
5/26/2014,615
5/27/2014,541
5/28/2014,254
