ds,y
4/28/2017,93
4/29/2017,161
4/30/2017,35
5/1/2017,38
5/2/2017,445
5/3/2017,470
5/4/2017,68
5/5/2017,132
5/6/2017,38
5/7/2017,132
5/8/2017,55
5/9/2017,127
5/10/2017,77
5/11/2017,86
5/12/2017,69
5/13/2017,179
5/14/2017,65
5/15/2017,108
5/16/2017,76
5/17/2017,76
5/18/2017,174
5/19/2017,111
5/20/2017,18
5/21/2017,12
5/22/2017,61
5/23/2017,552
5/24/2017,352
5/25/2017,113
5/26/2017,107
5/27/2017,82
5/28/2017,186
5/29/2017,110
5/30/2017,133
5/31/2017,72
6/1/2017,82
6/2/2017,166
6/3/2017,268
6/4/2017,11
6/5/2017,69
6/6/2017,90
6/7/2017,86
6/8/2017,119
6/9/2017,70
6/10/2017,142
6/11/2017,109
6/12/2017,74
6/13/2017,74
6/14/2017,439
6/15/2017,148
6/16/2017,437
6/17/2017,116
6/18/2017,118
6/19/2017,54
6/20/2017,124
6/21/2017,48
6/22/2017,75
6/23/2017,98
6/24/2017,110
6/25/2017,
6/26/2017,
6/27/2017,54
6/28/2017,126
6/29/2017,106
6/30/2017,97
7/1/2017,23
7/2/2017,42
7/3/2017,52
7/4/2017,197
7/5/2017,71
7/6/2017,119
7/7/2017,108
7/8/2017,71
7/9/2017,67
7/10/2017,51
7/11/2017,83
7/12/2017,48
7/13/2017,53
7/14/2017,139
7/15/2017,68
7/16/2017,66
7/17/2017,53
7/18/2017,121
7/19/2017,84
7/20/2017,121
7/21/2017,76
7/22/2017,59
7/23/2017,111
7/24/2017,820
7/25/2017,41
7/26/2017,843
7/27/2017,49
7/28/2017,115
7/29/2017,51
7/30/2017,122
7/31/2017,36
8/1/2017,36
8/2/2017,51
8/3/2017,87
8/4/2017,28
8/5/2017,24
8/6/2017,20
8/7/2017,786
8/8/2017,388
8/9/2017,46
8/10/2017,640
8/11/2017,60
8/12/2017,23
8/13/2017,208
8/14/2017,78
8/15/2017,34
8/16/2017,90
8/17/2017,36
8/18/2017,47
8/19/2017,39
8/20/2017,143
8/21/2017,56
8/22/2017,95
8/23/2017,132
8/24/2017,100
8/25/2017,326
8/26/2017,468
8/27/2017,22
8/28/2017,136
8/29/2017,211
8/30/2017,119
8/31/2017,629
9/1/2017,85
9/2/2017,
9/3/2017,103
9/4/2017,
9/5/2017,60
9/6/2017,161
9/7/2017,75
9/8/2017,90
9/9/2017,52
9/10/2017,61
9/11/2017,61
9/12/2017,74
9/13/2017,109
9/14/2017,100
9/15/2017,124
9/16/2017,30
9/17/2017,
9/18/2017,73
9/19/2017,39
9/20/2017,93
9/21/2017,103
9/22/2017,151
9/23/2017,41
9/24/2017,65
9/25/2017,617
9/26/2017,241
9/27/2017,15
9/28/2017,12
9/29/2017,456
9/30/2017,93
10/1/2017,59
10/2/2017,107
10/3/2017,92
10/4/2017,102
10/5/2017,92
10/6/2017,106
10/7/2017,94
10/8/2017,38
10/9/2017,76
10/10/2017,48
10/11/2017,47
10/12/2017,74
10/13/2017,95
10/14/2017,67
10/15/2017,58
10/16/2017,587
10/17/2017,0
10/18/2017,528
10/19/2017,109
10/20/2017,125
10/21/2017,39
10/22/2017,95
10/23/2017,102
10/24/2017,103
10/25/2017,63
10/26/2017,62
10/27/2017,93
10/28/2017,49
10/29/2017,94
10/30/2017,82
10/31/2017,71
11/1/2017,92
11/2/2017,78
11/3/2017,129
11/4/2017,43
11/5/2017,
11/6/2017,73
11/7/2017,79
11/8/2017,58
11/9/2017,84
11/10/2017,68
11/11/2017,59
11/12/2017,16
11/13/2017,89
11/14/2017,90
11/15/2017,96
11/16/2017,85
11/17/2017,98
11/18/2017,117
11/19/2017,53
11/20/2017,48
11/21/2017,134
11/22/2017,79
11/23/2017,101
11/24/2017,43
11/25/2017,66
11/26/2017,
11/27/2017,62
11/28/2017,80
11/29/2017,480
11/30/2017,576
12/1/2017,62
12/2/2017,84
12/3/2017,61
12/4/2017,99
12/5/2017,65
12/6/2017,100
12/7/2017,56
12/8/2017,50
12/9/2017,101
12/10/2017,49
12/11/2017,509
12/12/2017,360
12/13/2017,526
12/14/2017,478
12/15/2017,36
12/16/2017,
12/17/2017,
12/18/2017,119
12/19/2017,150
12/20/2017,
12/21/2017,
12/22/2017,125
12/23/2017,211
12/24/2017,90
12/25/2017,88
12/26/2017,67
12/27/2017,86
12/28/2017,99
12/29/2017,119
12/30/2017,56
12/31/2017,32
1/1/2018,43
1/2/2018,61
1/3/2018,83
1/4/2018,57
1/5/2018,94
1/6/2018,108
1/7/2018,20
1/8/2018,112
1/9/2018,51
1/10/2018,38
1/11/2018,
1/12/2018,
1/13/2018,88
1/14/2018,68
1/15/2018,
1/16/2018,
1/17/2018,88
1/18/2018,422
1/19/2018,468
1/20/2018,65
1/21/2018,41
1/22/2018,80
1/23/2018,586
1/24/2018,6
1/25/2018,
1/26/2018,464
1/27/2018,21
1/28/2018,52
1/29/2018,29
1/30/2018,28
1/31/2018,164
2/1/2018,69
2/2/2018,8
2/3/2018,66
2/4/2018,62
2/5/2018,86
2/6/2018,81
2/7/2018,114
2/8/2018,110
2/9/2018,223
2/10/2018,110
2/11/2018,108
2/12/2018,69
2/13/2018,73
2/14/2018,113
2/15/2018,530
2/16/2018,78
2/17/2018,20
2/18/2018,129
2/19/2018,447
2/20/2018,97
2/21/2018,44
2/22/2018,83
2/23/2018,129
2/24/2018,42
2/25/2018,72
2/26/2018,101
2/27/2018,63
2/28/2018,426
3/1/2018,238
3/2/2018,83752
3/3/2018,59
3/4/2018,
3/5/2018,85
3/6/2018,87
3/7/2018,91
3/8/2018,62
3/9/2018,101
3/10/2018,119
3/11/2018,73
3/12/2018,86
3/13/2018,122
3/14/2018,94
3/15/2018,40
3/16/2018,58
3/17/2018,9
3/18/2018,57
3/19/2018,45
3/20/2018,129
3/21/2018,49
3/22/2018,73
3/23/2018,56
3/24/2018,78
3/25/2018,34
3/26/2018,32
3/27/2018,77
3/28/2018,79
3/29/2018,46
3/30/2018,54
3/31/2018,57
4/1/2018,69
4/2/2018,59
4/3/2018,101
4/4/2018,521
4/5/2018,9
4/6/2018,36
4/7/2018,28
4/8/2018,167
4/9/2018,364
4/10/2018,353
4/11/2018,448
4/12/2018,32
4/13/2018,43
4/14/2018,129
4/15/2018,121
4/16/2018,38
4/17/2018,62
4/18/2018,56222
4/19/2018,586
4/20/2018,119
4/21/2018,176
4/22/2018,578
4/23/2018,78
4/24/2018,30
4/25/2018,38
4/26/2018,60
4/27/2018,39
4/28/2018,60
4/29/2018,10
4/30/2018,142
5/1/2018,419
5/2/2018,517
5/3/2018,110
5/4/2018,101
5/5/2018,119
5/6/2018,9
5/7/2018,81
5/8/2018,68
5/9/2018,58
5/10/2018,67
5/11/2018,78
5/12/2018,43
5/13/2018,38
5/14/2018,54
5/15/2018,74
5/16/2018,16
5/17/2018,19
5/18/2018,131
5/19/2018,47
5/20/2018,51
5/21/2018,53
5/22/2018,53
5/23/2018,47
5/24/2018,56
5/25/2018,570
5/26/2018,27
5/27/2018,21
5/28/2018,84
5/29/2018,107
5/30/2018,69
5/31/2018,665
